,cat1,cat2,cat3,brand_name
0,MEN,Tops,T-shirts,Others
1,ELE,Computers & Tablets,Components & Parts,Others
2,WOM,Tops & Blouses,Blouse,Others
3,HOM,Home Décor,Home Décor Accents,Others
4,WOM,Jewelry,Necklaces,Others
5,WOM,Other,Other,Others
6,WOM,Swimwear,Two-Piece,Acacia Swimwear
7,SPO,Apparel,Girls,Others
9,VIN,Collectibles,Doll,Others
10,BEA,Makeup,Face,Others
11,BEA,Fragrance,Women,Others
12,WOM,Dresses,"Above Knee, Mini",Others
13,OTH,Office supplies,School Supplies,Others
14,WOM,Shoes,Boots,UGG Australia
15,BEA,Makeup,Makeup Sets,Others
16,BEA,Makeup,Eyes,Others
17,KID,Gear,Backpacks & Carriers,Others
18,BEA,Makeup,Makeup Palettes,Others
20,WOM,Tops & Blouses,"Tank, Cami",Others
21,WOM,Athletic Apparel,Sports Bras,Others
22,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Samsung
23,ELE,Cell Phones & Accessories,Chargers & Cradles,Others
24,WOM,Tops & Blouses,T-Shirts,Others
25,MEN,Shoes,Athletic,Air Jordan
26,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Apple
27,WOM,Athletic Apparel,"Pants, Tights, Leggings",LuLaRoe
28,WOM,Swimwear,One-Piece,Others
29,WOM,Jeans,Boot Cut,Others
31,WOM,Athletic Apparel,"Pants, Tights, Leggings",Others
32,WOM,Underwear,Bras,Others
33,BEA,Skin Care,Face,Others
34,KID,Toys,Stuffed Animals & Plush,Others
36,WOM,Women's Handbags,Totes & Shoppers,Others
37,MEN,Athletic Apparel,Shirts & Tops,Others
38,ELE,Video Games & Consoles,Consoles,Others
44,VIN,Collectibles,Glass,Others
45,WOM,Coats & Jackets,Vest,The North Face
46,KID,Toys,Arts & Crafts,Others
48,WOM,Pants,"Capris, Cropped",lululemon athletica
50,WOM,Women's Handbags,Messenger & Crossbody,Michael Kors
51,KID,Girls (4+),Shoes,Others
52,VIN,Antique,Collectibles,Others
54,HOM,Kitchen & Dining,Coffee & Tea Accessories,Rae Dunn
55,VIN,Jewelry,Brooch,Others
